principio_ativo_limpo,categoria_terapeutica,total_produtos_registrados,produtos_principais,empresas_principais,popularidade_mercado,diversidade_formulacoes,texto_completo_busca,texto_resumo_busca
Alfasimoctocogue,Outros,1,Nuwiq,02552927000160 - OCTAPHARMA BRASIL LTDA,baixa,baixa,Medicamento: Alfasimoctocogue | Principio Ativo:  ALFASIMOCTOCOGUE | Classe Terapeutica: ANTI-HEMORRAGICOS | Categoria: Outros | Produtos Comerciais: Nuwiq | Total de Produtos: 1,Alfasimoctocogue - Outros
Dipropionato De Betametasona Sulfato De Gentamicina,Dermatologico,18,Betogenta; DIBEDERM; DIPROGENTA,03485572000104 - GEOLAB INDÚSTRIA FARMACÊUTICA S/A; 17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A; 61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.,alta,alta,Medicamento: Dipropionato De Betametasona Sulfato De Gentamicina | Principio Ativo: DIPROPIONATO DE BETAMETASONA +  SULFATO DE GENTAMICINA | Classe Terapeutica: GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA | Categoria: Dermatologico | Produtos Comerciais: Betogenta; DIBEDERM; DIPROGENTA | Total de Produtos: 18,Dipropionato De Betametasona Sulfato De Gentamicina - Dermatologico
Dipropionato De Betametasona Acido Salicilico,Dermatologico,11,DERMOSALIC; DIPROPIONATO DE BETAMETASONA + ÁCIDO SALICÍLICO; DIPROSALIC,33173097000274 - CELLERA FARMACÊUTICA S.A.; 57507378000365 - EMS S/A; 73856593000166 - PRATI DONADUZZI & CIA LTDA,alta,alta,Medicamento: Dipropionato De Betametasona Acido Salicilico | Principio Ativo: DIPROPIONATO DE BETAMETASONA +  ÁCIDO SALICÍLICO | Classe Terapeutica: GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA | Categoria: Dermatologico | Produtos Comerciais: DERMOSALIC; DIPROPIONATO DE BETAMETASONA + ÁCIDO SALICÍLICO; DIPROSALIC | Total de Produtos: 11,Dipropionato De Betametasona Acido Salicilico - Dermatologico
Disofenina,Outros,1,DISI-TEC,00402552000126 - COMISSAO NACIONAL DE ENERGIA NUCLEAR,baixa,baixa,Medicamento: Disofenina | Principio Ativo: DISOFENINA | Classe Terapeutica: AGENTES DIAGNOSTICOS RADIOATIVOS | Categoria: Outros | Produtos Comerciais: DISI-TEC | Total de Produtos: 1,Disofenina - Outros
Dissulfeto Ferroso Mercurius Sulphuratus Ruber,Outros,1,PYRIT - ZINNOBER,56992217000180 - WELEDA DO BRASIL LABORATÓRIO E FARMÁCIA LTDA,baixa,baixa,Medicamento: Dissulfeto Ferroso Mercurius Sulphuratus Ruber | Principio Ativo: DISSULFETO FERROSO +  MERCURIUS SULPHURATUS RUBER | Classe Terapeutica: MEDICAMENTOS DINAMIZADOS COMPOSTOS | Categoria: Outros | Produtos Comerciais: PYRIT - ZINNOBER | Total de Produtos: 1,Dissulfeto Ferroso Mercurius Sulphuratus Ruber - Outros
Ditartarato De Vinorelbina,Outros,1,ONCOBINE,18268051000164 - CIPLA BRASIL IMPORTADORA E DISTRIBUIDORA DE MEDICAMENTOS LTDA,baixa,baixa,Medicamento: Ditartarato De Vinorelbina | Principio Ativo: DITARTARATO DE VINORELBINA | Classe Terapeutica: ANTINEOPLASICOS CITOTOXICOS | Categoria: Outros | Produtos Comerciais: ONCOBINE | Total de Produtos: 1,Ditartarato De Vinorelbina - Outros
Ditosilato De Lapatinibe,Outros,1,TYKERB,56994502000130 - NOVARTIS BIOCIENCIAS S.A,baixa,baixa,Medicamento: Ditosilato De Lapatinibe | Principio Ativo: DITOSILATO DE LAPATINIBE | Classe Terapeutica: ANTINEOPLASICO | Categoria: Outros | Produtos Comerciais: TYKERB | Total de Produtos: 1,Ditosilato De Lapatinibe - Outros
Divalproato De Sodio,Outros,24,DEPAKOTE; DEVALY LP; DIVALCON,56998701000116 - ABBOTT LABORATÓRIOS DO BRASIL LTDA; 05035244000123 - SUN FARMACÊUTICA DO BRASIL LTDA; 73663650000190 - RANBAXY FARMACÊUTICA LTDA,alta,alta,Medicamento: Divalproato De Sodio | Principio Ativo: DIVALPROATO DE SÓDIO | Classe Terapeutica: ANTICONVULSIVANTES | Categoria: Outros | Produtos Comerciais: DEPAKOTE; DEVALY LP; DIVALCON | Total de Produtos: 24,Divalproato De Sodio - Outros
Divalproato De Sodio Acido Citrico,Outros,1,ZYVALPREX,05254971000181 - ZYDUS NIKKHO FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Divalproato De Sodio Acido Citrico | Principio Ativo: DIVALPROATO DE SÓDIO +  ÁCIDO CÍTRICO | Classe Terapeutica: ANTICONVULSIVANTES | Categoria: Outros | Produtos Comerciais: ZYVALPREX | Total de Produtos: 1,Divalproato De Sodio Acido Citrico - Outros
Dl-Metionina Racemetionina Betaina Citrato De Colina,Gastrointestinal,1,Figz,43056264000170 - KYMBERG FARMACEUTICA DO BRASIL LTDA,baixa,baixa,Medicamento: Dl-Metionina Racemetionina Betaina Citrato De Colina | Principio Ativo: DL-METIONINA +  RACEMETIONINA +  BETAÍNA +  CITRATO DE COLINA | Classe Terapeutica: OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO | Categoria: Gastrointestinal | Produtos Comerciais: Figz | Total de Produtos: 1,Dl-Metionina Racemetionina Betaina Citrato De Colina - Gastrointestinal
Dobesilato De Calcio,Outros,1,DOBEVEN,62462015000129 - APSEN FARMACEUTICA S/A,baixa,baixa,Medicamento: Dobesilato De Calcio | Principio Ativo: DOBESILATO DE CÁLCIO | Classe Terapeutica: ANTIVARICOSOS DE ACAO SISTEMICA | Categoria: Outros | Produtos Comerciais: DOBEVEN | Total de Produtos: 1,Dobesilato De Calcio - Outros
Docetaxel,Outros,10,DOCEGLENNU; DOCETAXEL; DOSATAXEL,"44363661000157 - GLENMARK FARMACÊUTICA LTDA; 03959540000195 - CHEMICALTECH IMPORTAÇÃO, EXPORTAÇÃO E COMÉRCIO DE PRODUTOS MÉDI; 44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.",alta,alta,Medicamento: Docetaxel | Principio Ativo: DOCETAXEL | Classe Terapeutica: ANTINEOPLASICO | Categoria: Outros | Produtos Comerciais: DOCEGLENNU; DOCETAXEL; DOSATAXEL | Total de Produtos: 10,Docetaxel - Outros
Docetaxel Tri-Hidratado,Outros,2,docetaxel; Taxxonex,58430828000160 - BLAU FARMACÊUTICA S.A.,baixa,baixa,Medicamento: Docetaxel Tri-Hidratado | Principio Ativo: DOCETAXEL TRI-HIDRATADO | Classe Terapeutica: ANTINEOPLASICO | Categoria: Outros | Produtos Comerciais: docetaxel; Taxxonex | Total de Produtos: 2,Docetaxel Tri-Hidratado - Outros
Docetaxel Triidratado,Outros,5,DOCELIBBS; DOCEUNO; docetaxel tri-hidratado,61230314000175 - LIBBS FARMACÊUTICA LTDA; 61190096000192 - EUROFARMA LABORATÓRIOS S.A.; 61282661000141 - LABORATÓRIO QUÍMICO FARMACÊUTICO BERGAMO LTDA,media,alta,Medicamento: Docetaxel Triidratado | Principio Ativo: DOCETAXEL TRIIDRATADO | Classe Terapeutica: ANTINEOPLASICO | Categoria: Outros | Produtos Comerciais: DOCELIBBS; DOCEUNO; docetaxel tri-hidratado | Total de Produtos: 5,Docetaxel Triidratado - Outros
Dolutegravir Sodico,Outros,5,TIVICAY; TIVICAY PD; dolutegravir sódico,33247743000110 - GLAXOSMITHKLINE BRASIL LTDA; 33781055000135 - FUNDAÇÃO OSWALDO CRUZ; 53359824000119 - BLANVER FARMOQUIMICA E FARMACÊUTICA S.A.,media,media,Medicamento: Dolutegravir Sodico | Principio Ativo: DOLUTEGRAVIR SÓDICO | Classe Terapeutica: ANTIRETROVIRAL | Categoria: Outros | Produtos Comerciais: TIVICAY; TIVICAY PD; dolutegravir sódico | Total de Produtos: 5,Dolutegravir Sodico - Outros
Domperidona,Outros,21,DOMPED; DOMPERIDONA; DOMPERIX,60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A; 73663650000190 - RANBAXY FARMACÊUTICA LTDA; 61190096000192 - EUROFARMA LABORATÓRIOS S.A.,alta,alta,Medicamento: Domperidona | Principio Ativo: DOMPERIDONA | Classe Terapeutica: ANTIEMETICOS E ANTINAUSEANTES | Categoria: Outros | Produtos Comerciais: DOMPED; DOMPERIDONA; DOMPERIX | Total de Produtos: 21,Domperidona - Outros
Doravirina,Outros,1,PIFELTRO,03560974000118 - MERCK SHARP & DOHME FARMACEUTICA LTDA.,baixa,baixa,Medicamento: Doravirina | Principio Ativo: DORAVIRINA | Classe Terapeutica: ANTIVIRAIS DE AÇÃO DIRETA | Categoria: Outros | Produtos Comerciais: PIFELTRO | Total de Produtos: 1,Doravirina - Outros
Dostarlimabe,Outros,1,JEMPERLI,33247743000110 - GLAXOSMITHKLINE BRASIL LTDA,baixa,baixa,Medicamento: Dostarlimabe | Principio Ativo: DOSTARLIMABE | Classe Terapeutica: ANTICORPOS MONOCLONAIS | Categoria: Outros | Produtos Comerciais: JEMPERLI | Total de Produtos: 1,Dostarlimabe - Outros
Doxiciclina Monoidratada,Outros,3,DOXICICLINA; VIBRADOXIN; VIBRAMICINA,61286647000116 - SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA; 61072393000133 - WYETH INDÚSTRIA FARMACÊUTICA LTDA,baixa,media,Medicamento: Doxiciclina Monoidratada | Principio Ativo: DOXICICLINA MONOIDRATADA | Classe Terapeutica: CLASSE DAS TETRACICLINAS | Categoria: Outros | Produtos Comerciais: DOXICICLINA; VIBRADOXIN; VIBRAMICINA | Total de Produtos: 3,Doxiciclina Monoidratada - Outros
Droperidol,Outros,1,DROPERDAL,44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,baixa,baixa,Medicamento: Droperidol | Principio Ativo: DROPERIDOL | Classe Terapeutica: ANTIEMETICOS E ANTINAUSEANTES | Categoria: Outros | Produtos Comerciais: DROPERDAL | Total de Produtos: 1,Droperidol - Outros
Dropropizina,Outros,14,ATOSSION; DOPROPIZINA; DROPROPIZINA,83874628000143 - LABORATÓRIO FARMACÊUTICO ELOFAR LTDA; 73856593000166 - PRATI DONADUZZI & CIA LTDA; 60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,alta,alta,Medicamento: Dropropizina | Principio Ativo: DROPROPIZINA | Classe Terapeutica: ANTITUSSIGENOS SIMPLES | Categoria: Outros | Produtos Comerciais: ATOSSION; DOPROPIZINA; DROPROPIZINA | Total de Produtos: 14,Dropropizina - Outros
Drospirenona,Outros,3,AMMY; SLINDA,61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.; 19136432000152 - EXELTIS LABORATORIO FARMACEUTICO LTDA,baixa,baixa,Medicamento: Drospirenona | Principio Ativo: DROSPIRENONA | Classe Terapeutica: ANTICONCEPCIONAIS | Categoria: Outros | Produtos Comerciais: AMMY; SLINDA | Total de Produtos: 3,Drospirenona - Outros
Drospirenona Clatrato De Etinilestradiol Betaciclodextrina,Outros,1,YAZ,18459628000115 - BAYER S.A.,baixa,baixa,Medicamento: Drospirenona Clatrato De Etinilestradiol Betaciclodextrina | Principio Ativo: DROSPIRENONA +  CLATRATO DE ETINILESTRADIOL BETACICLODEXTRINA | Classe Terapeutica: ANTICONCEPCIONAIS | Categoria: Outros | Produtos Comerciais: YAZ | Total de Produtos: 1,Drospirenona Clatrato De Etinilestradiol Betaciclodextrina - Outros
Drospirenona Estradiol Hemi-Hidratado,Outros,6,ANGELIQ; CECI; DIOL,18459628000115 - BAYER S.A.; 61230314000175 - LIBBS FARMACÊUTICA LTDA; 43312503000105 - SUPERA FARMA LABORATÓRIOS S.A,media,alta,Medicamento: Drospirenona Estradiol Hemi-Hidratado | Principio Ativo: DROSPIRENONA +  ESTRADIOL HEMI-HIDRATADO | Classe Terapeutica: ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS | Categoria: Outros | Produtos Comerciais: ANGELIQ; CECI; DIOL | Total de Produtos: 6,Drospirenona Estradiol Hemi-Hidratado - Outros
Drospirenona Etinilestradiol,Outros,42,DALYNE; DIVA; DIVA 20,00923140000131 - EMS SIGMA PHARMA LTDA; 19136432000152 - EXELTIS LABORATORIO FARMACEUTICO LTDA; 48344725000719 - ALTHAIA S.A INDÚSTRIA FARMACÊUTICA,alta,alta,Medicamento: Drospirenona Etinilestradiol | Principio Ativo: DROSPIRENONA +  ETINILESTRADIOL | Classe Terapeutica: ANTICONCEPCIONAIS | Categoria: Outros | Produtos Comerciais: DALYNE; DIVA; DIVA 20 | Total de Produtos: 42,Drospirenona Etinilestradiol - Outros
Dulaglutida,Outros,1,TRULICITY,43940618000144 - ELI LILLY DO BRASIL LTDA,baixa,baixa,Medicamento: Dulaglutida | Principio Ativo: DULAGLUTIDA | Classe Terapeutica: ANTIDIABETICOS | Categoria: Outros | Produtos Comerciais: TRULICITY | Total de Produtos: 1,Dulaglutida - Outros
Dupilumabe,Analgesico,1,Dupixent,10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.,baixa,baixa,Medicamento: Dupilumabe | Principio Ativo: DUPILUMABE | Classe Terapeutica: IMUNOMODULADOR | Categoria: Analgesico | Produtos Comerciais: Dupixent | Total de Produtos: 1,Dupilumabe - Analgesico
Durvalumabe,Não Classificado,1,IMFINZI,60318797000100 - ASTRAZENECA DO BRASIL LTDA,baixa,baixa,Medicamento: Durvalumabe | Principio Ativo: DURVALUMABE | Classe Terapeutica: None | Categoria: Não Classificado | Produtos Comerciais: IMFINZI | Total de Produtos: 1,Durvalumabe - Não Classificado
Dutasterida,Analgesico,4,AVODART; DASTENE; dutasterida,33247743000110 - GLAXOSMITHKLINE BRASIL LTDA; 60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,baixa,media,Medicamento: Dutasterida | Principio Ativo: DUTASTERIDA | Classe Terapeutica: INIBIDOR DA ALFA-REDUTASE | Categoria: Analgesico | Produtos Comerciais: AVODART; DASTENE; dutasterida | Total de Produtos: 4,Dutasterida - Analgesico
Dutasterida Cloridrato De Tansulosina,Outros,1,dutasterida + cloridrato de tansulosina,05254971000181 - ZYDUS NIKKHO FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Dutasterida Cloridrato De Tansulosina | Principio Ativo: DUTASTERIDA +  CLORIDRATO DE TANSULOSINA | Classe Terapeutica: OUTROS PRODUTOS COM ACAO NO TRATO URINARIO | Categoria: Outros | Produtos Comerciais: dutasterida + cloridrato de tansulosina | Total de Produtos: 1,Dutasterida Cloridrato De Tansulosina - Outros
Ebastina,Outros,1,EBASTEL,61190096000192 - EUROFARMA LABORATÓRIOS S.A.,baixa,baixa,Medicamento: Ebastina | Principio Ativo: EBASTINA | Classe Terapeutica: ANTI-HISTAMINICOS SISTEMICOS | Categoria: Outros | Produtos Comerciais: EBASTEL | Total de Produtos: 1,Ebastina - Outros
Echinacea Purpurea (L.) Moench,Analgesico,6,ENAX; EQUINÁCEA TIARAJU; KMUNE,07670111000154 - ARESE PHARMA LTDA; 60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A; 17440261000125 - MYRALIS INDÚSTRIA FARMACÊUTICA LTDA,media,alta,Medicamento: Echinacea Purpurea (L.) Moench | Principio Ativo: ECHINACEA PURPUREA (L.) MOENCH | Classe Terapeutica: FITOTERAPICO SIMPLES + IMUNOMODULADOR | Categoria: Analgesico | Produtos Comerciais: ENAX; EQUINÁCEA TIARAJU; KMUNE | Total de Produtos: 6,Echinacea Purpurea (L.) Moench - Analgesico
Eculizumabe,Outros,3,SOLIRIS; BEKEMV,10284284000149 - ALEXION FARMACEUTICA BRASIL IMPORTACAO E DISTRIBUICAO DE PRODUT; 18774815000193 - AMGEN BIOTECNOLOGIA DO BRASIL LTDA.; 60318797000100 - ASTRAZENECA DO BRASIL LTDA.,baixa,baixa,Medicamento: Eculizumabe | Principio Ativo: ECULIZUMABE | Classe Terapeutica: OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF | Categoria: Outros | Produtos Comerciais: SOLIRIS; BEKEMV | Total de Produtos: 3,Eculizumabe - Outros
Edaravona,Outros,1,RADICAVA,60874187000184 - DAIICHI SANKYO BRASIL FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Edaravona | Principio Ativo: EDARAVONA | Classe Terapeutica: OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO | Categoria: Outros | Produtos Comerciais: RADICAVA | Total de Produtos: 1,Edaravona - Outros
Edetato Cromico (51 Cr),Não Classificado,1,DAT-IPEN,00402552000126 - COMISSAO NACIONAL DE ENERGIA NUCLEAR,baixa,baixa,Medicamento: Edetato Cromico (51 Cr) | Principio Ativo: EDETATO CRÔMICO (51 CR) | Classe Terapeutica: None | Categoria: Não Classificado | Produtos Comerciais: DAT-IPEN | Total de Produtos: 1,Edetato Cromico (51 Cr) - Não Classificado
Efavirenz,Outros,2,EFAVIRENZ; EVIR,33781055000135 - FUNDAÇÃO OSWALDO CRUZ; 44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,baixa,baixa,Medicamento: Efavirenz | Principio Ativo: EFAVIRENZ | Classe Terapeutica: ANTIRETROVIRAL | Categoria: Outros | Produtos Comerciais: EFAVIRENZ; EVIR | Total de Produtos: 2,Efavirenz - Outros
Eladocageno Exuparvoveque,Não Classificado,1,Upstaza,25210463000109 - PTC FARMACEUTICA DO BRASIL LTDA.,baixa,baixa,Medicamento: Eladocageno Exuparvoveque | Principio Ativo: ELADOCAGENO EXUPARVOVEQUE | Classe Terapeutica: None | Categoria: Não Classificado | Produtos Comerciais: Upstaza | Total de Produtos: 1,Eladocageno Exuparvoveque - Não Classificado
Elbasvir Grazoprevir Monoidratado,Outros,2,ZEPATIER,45987013000134 - ORGANON FARMACÊUTICA LTDA.; 03560974000118 - MERCK SHARP & DOHME FARMACEUTICA LTDA.,baixa,baixa,Medicamento: Elbasvir Grazoprevir Monoidratado | Principio Ativo: ELBASVIR +  GRAZOPREVIR MONOIDRATADO  | Classe Terapeutica: OUTROS ANTIVIRÓTICOS | Categoria: Outros | Produtos Comerciais: ZEPATIER | Total de Produtos: 2,Elbasvir Grazoprevir Monoidratado - Outros
Elexacaftor Ivacaftor Tezacaftor,Respiratorio,1,TRIKAFTA,21798065000102 - VERTEX FARMACEUTICA DO BRASIL LTDA.,baixa,baixa,Medicamento: Elexacaftor Ivacaftor Tezacaftor | Principio Ativo: ELEXACAFTOR +  IVACAFTOR +  TEZACAFTOR | Classe Terapeutica: OUTROS PRODUTOS PARA O APARELHO RESPIRATORIO | Categoria: Respiratorio | Produtos Comerciais: TRIKAFTA | Total de Produtos: 1,Elexacaftor Ivacaftor Tezacaftor - Respiratorio
Elotuzumabe,Outros,1,Empliciti,56998982000107 - BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Elotuzumabe | Principio Ativo: ELOTUZUMABE | Classe Terapeutica: ANTINEOPLASICO | Categoria: Outros | Produtos Comerciais: Empliciti | Total de Produtos: 1,Elotuzumabe - Outros
Elranatamabe,Outros,1,ELREXFIO,61072393000133 - PFIZER BRASIL LTDA,baixa,baixa,Medicamento: Elranatamabe | Principio Ativo: ELRANATAMABE | Classe Terapeutica: ANTINEOPLASICO | Categoria: Outros | Produtos Comerciais: ELREXFIO | Total de Produtos: 1,Elranatamabe - Outros
Eltrombopague Olamina,Outros,1,REVOLADE,56994502000130 - NOVARTIS BIOCIENCIAS S.A,baixa,baixa,Medicamento: Eltrombopague Olamina | Principio Ativo: ELTROMBOPAGUE OLAMINA | Classe Terapeutica: OUTROS PRODUTOS ANTI-HEMORRAGICOS | Categoria: Outros | Produtos Comerciais: REVOLADE | Total de Produtos: 1,Eltrombopague Olamina - Outros
Embonato De Pirvinio,Outros,1,PYVERM,17562075000169 - CIFARMA CIENTÍFICA FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Embonato De Pirvinio | Principio Ativo: EMBONATO DE PIRVÍNIO | Classe Terapeutica: ANTIPARASITARIOS | Categoria: Outros | Produtos Comerciais: PYVERM | Total de Produtos: 1,Embonato De Pirvinio - Outros
Embonato De Triptorrelina,Outros,1,NEO DECAPEPTYL,60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,baixa,baixa,Medicamento: Embonato De Triptorrelina | Principio Ativo: EMBONATO DE TRIPTORRELINA | Classe Terapeutica: OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF | Categoria: Outros | Produtos Comerciais: NEO DECAPEPTYL | Total de Produtos: 1,Embonato De Triptorrelina - Outros
Emicizumabe,Outros,1,Hemcibra,33009945000123 - PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,baixa,baixa,Medicamento: Emicizumabe | Principio Ativo: EMICIZUMABE | Classe Terapeutica: OUTROS HEMOSTÁTICOS SISTÊMICOS | Categoria: Outros | Produtos Comerciais: Hemcibra | Total de Produtos: 1,Emicizumabe - Outros
Empagliflozina,Outros,5,JARDIANCE; GLEMPA; empagliflozina,60831658000177 - BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.; 57507378000365 - EMS S/A; 45992062000165 - GERMED FARMACEUTICA LTDA,media,media,Medicamento: Empagliflozina | Principio Ativo: EMPAGLIFLOZINA | Classe Terapeutica: ANTIDIABETICOS | Categoria: Outros | Produtos Comerciais: JARDIANCE; GLEMPA; empagliflozina | Total de Produtos: 5,Empagliflozina - Outros
Empagliflozina Linagliptina,Outros,1,GLYXAMBI,60831658000177 - BOEHRINGER INGELHEIM DO BRASIL QUÍMICA E FARMACÊUTICA LTDA.,baixa,baixa,Medicamento: Empagliflozina Linagliptina | Principio Ativo: EMPAGLIFLOZINA +  LINAGLIPTINA | Classe Terapeutica: ANTIDIABETICOS | Categoria: Outros | Produtos Comerciais: GLYXAMBI | Total de Produtos: 1,Empagliflozina Linagliptina - Outros
Enantato De Flufenazina,Outros,1,FLUFENAN DEPOT,44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,baixa,baixa,Medicamento: Enantato De Flufenazina | Principio Ativo: ENANTATO DE FLUFENAZINA | Classe Terapeutica: NEUROLEPTICOS | Categoria: Outros | Produtos Comerciais: FLUFENAN DEPOT | Total de Produtos: 1,Enantato De Flufenazina - Outros
Enantato De Noretisterona Valerato De Estradiol,Outros,7,ENANTATO DE NORETISTERONA + VALERATO DE ESTRADIOL; FINIFERT; MESIGYNA,61190096000192 - EUROFARMA LABORATÓRIOS S.A.; 17562075000169 - CIFARMA CIENTÍFICA FARMACÊUTICA LTDA; 18459628000115 - BAYER S.A.,media,alta,Medicamento: Enantato De Noretisterona Valerato De Estradiol | Principio Ativo: ENANTATO DE NORETISTERONA +  VALERATO DE ESTRADIOL | Classe Terapeutica: ANTICONCEPCIONAIS | Categoria: Outros | Produtos Comerciais: ENANTATO DE NORETISTERONA + VALERATO DE ESTRADIOL; FINIFERT; MESIGYNA | Total de Produtos: 7,Enantato De Noretisterona Valerato De Estradiol - Outros
Encorafenibe,Analgesico,2,BRAFTOVI,33051491000159 - LABORATÓRIOS PIERRE FABRE DO BRASIL LTDA; 61072393000133 - PFIZER BRASIL LTDA,baixa,baixa,Medicamento: Encorafenibe | Principio Ativo: ENCORAFENIBE | Classe Terapeutica: INIBIDORES DA PROTEÍNA QUINASE  | Categoria: Analgesico | Produtos Comerciais: BRAFTOVI | Total de Produtos: 2,Encorafenibe - Analgesico
Enflurano,Outros,1,ENFLURAN,44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,baixa,baixa,Medicamento: Enflurano | Principio Ativo: ENFLURANO | Classe Terapeutica: ANESTESICOS GERAIS VOLATEIS E GASOSOS | Categoria: Outros | Produtos Comerciais: ENFLURAN | Total de Produtos: 1,Enflurano - Outros
Enfortumabe Vedotina,Outros,1,PADCEV,55980684000127 - ZODIAC PRODUTOS FARMACÊUTICOS S/A,baixa,baixa,Medicamento: Enfortumabe Vedotina | Principio Ativo: ENFORTUMABE VEDOTINA | Classe Terapeutica: AGENTES ANTINEOPLÁSICOS | Categoria: Outros | Produtos Comerciais: PADCEV | Total de Produtos: 1,Enfortumabe Vedotina - Outros
Enfuvirtida,Outros,1,FUZEON,33009945000123 - PRODUTOS ROCHE QUÍMICOS E FARMACÊUTICOS S.A.,baixa,baixa,Medicamento: Enfuvirtida | Principio Ativo: ENFUVIRTIDA | Classe Terapeutica: ANTIVIROTICOS (INIBE REPLICACAO VIROTICA) | Categoria: Outros | Produtos Comerciais: FUZEON | Total de Produtos: 1,Enfuvirtida - Outros
Enoxaparina Sodica,Outros,11,CLEXANE; CUTENOX; ENDOCRIS,10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.; 11643096000122 - MYLAN LABORATORIOS LTDA; 44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,alta,alta,Medicamento: Enoxaparina Sodica | Principio Ativo: ENOXAPARINA SÓDICA | Classe Terapeutica: ANTITROMBOTICO | Categoria: Outros | Produtos Comerciais: CLEXANE; CUTENOX; ENDOCRIS | Total de Produtos: 11,Enoxaparina Sodica - Outros
Entacapona,Outros,3,COMTAN; ENTACAPONA; ENTARKIN,61286647000116 - SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA; 57507378000365 - EMS S/A; 00923140000131 - EMS SIGMA PHARMA LTDA,baixa,media,Medicamento: Entacapona | Principio Ativo: ENTACAPONA | Classe Terapeutica: ANTIPARKINSONIANOS | Categoria: Outros | Produtos Comerciais: COMTAN; ENTACAPONA; ENTARKIN | Total de Produtos: 3,Entacapona - Outros
Entecavir,Outros,1,BARACLUDE,56998982000107 - BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Entecavir | Principio Ativo: ENTECAVIR | Classe Terapeutica: ANTIVIROTICOS (INIBE REPLICACAO VIROTICA) | Categoria: Outros | Produtos Comerciais: BARACLUDE | Total de Produtos: 1,Entecavir - Outros
Entecavir Monoidratado,Outros,1,entecavir,17503475000101 - FUNDAÇÃO EZEQUIEL DIAS - FUNED,baixa,baixa,Medicamento: Entecavir Monoidratado | Principio Ativo: ENTECAVIR MONOIDRATADO | Classe Terapeutica: ANTIVIROTICOS (INIBE REPLICACAO VIROTICA) | Categoria: Outros | Produtos Comerciais: entecavir | Total de Produtos: 1,Entecavir Monoidratado - Outros
